step,reward,confidence_level,fatigue_level,current_mode,predicted_confidence,confidence_error_history,mode_error_history
1,1.0,0.5774506,0.46978664,exploration,0.5105335,0.06691706,0
2,1.0,0.60445845,0.5001619,exploration,0.5211412,0.08331728,0
3,1.0,0.6158653,0.4871484,exploration,0.54351556,0.07234973,0
4,1.0,0.62651545,0.4775109,exploration,0.5632914,0.06322408,0
5,1.0,0.6370576,0.4695107,exploration,0.58232754,0.054730058,0
6,1.0,0.6475682,0.46243614,exploitation,0.6006317,0.046936512,0
7,1.0,0.67601466,0.39859548,exploitation,0.6482469,0.027767777,1
8,1.0,0.6839379,0.39736947,exploitation,0.6573589,0.026579022,1
9,1.0,0.6922162,0.39829013,exploitation,0.6733669,0.018849313,1
10,1.0,0.701071,0.39966163,exploitation,0.6889997,0.0120713115,1
11,1.0,0.7103757,0.40141752,exploitation,0.7033897,0.006986022,1
12,1.0,0.7200418,0.40355155,exploitation,0.71598744,0.0040543675,1
13,1.0,0.73000556,0.40607357,exploitation,0.72663003,0.0033755302,1
14,1.0,0.74021775,0.40900463,exploitation,0.73529845,0.0049192905,1
15,1.0,0.75063735,0.41237304,exploitation,0.74243367,0.008203685,1
16,1.0,0.7612277,0.41621232,exploitation,0.74869514,0.012532592,1
17,1.0,0.7719541,0.4205584,exploitation,0.7547449,0.017209232,1
18,1.0,0.7827815,0.42544794,exploitation,0.7611795,0.021601975,1
19,1.0,0.7936733,0.43091688,exploitation,0.76838934,0.025283933,1
20,1.0,0.80436003,0.4365947,exploitation,0.7765146,0.027845442,1
21,1.0,0.81476265,0.4424196,exploitation,0.78548485,0.029277802,1
22,1.0,0.8251464,0.44895434,exploitation,0.79517484,0.02997154,1
23,1.0,0.8354884,0.45621106,exploitation,0.80548304,0.030005336,0
24,1.0,0.8457403,0.46420255,exploitation,0.8162273,0.029513001,0
25,1.0,0.8558512,0.47293553,exploitation,0.8272301,0.028621078,0
26,1.0,0.86577004,0.48240876,exploitation,0.838312,0.027458072,0
27,1.0,0.8754468,0.49261183,exploitation,0.8493056,0.026141167,0
28,1.0,0.8848332,0.5035251,exploitation,0.86005384,0.02477938,0
29,1.0,0.89388436,0.51511824,exploitation,0.87044704,0.023437321,0
30,1.0,0.9025597,0.5273512,exploitation,0.8803902,0.02216947,0
31,1.0,0.9108238,0.5401738,exploitation,0.88980997,0.021013856,0
32,1.0,0.91864765,0.5535278,exploitation,0.89865863,0.019989014,0
33,1.0,0.9260092,0.5673474,exploitation,0.9068965,0.019112706,0
34,1.0,0.9328936,0.5815626,exploitation,0.9145255,0.018368065,0
35,1.0,0.93929344,0.59610105,exploitation,0.92157453,0.017718911,0
36,1.0,0.945209,0.61089104,exploitation,0.9280347,0.017174304,0
37,1.0,0.950647,0.62586355,exploitation,0.9339766,0.016670406,0
38,1.0,0.9556203,0.6409541,exploitation,0.9394233,0.016196966,0
39,1.0,0.9601471,0.65610397,exploitation,0.94440377,0.015743315,0
40,1.0,0.9642496,0.6712607,exploitation,0.9489516,0.015298009,0
41,1.0,0.96795326,0.68637764,exploitation,0.9531089,0.014844358,0
42,1.0,0.97128,0.701407,exploitation,0.9569036,0.014376402,0
43,1.0,0.974244,0.71629274,exploitation,0.96036524,0.013878763,0
44,1.0,0.9768694,0.73098946,exploitation,0.9635204,0.013348997,0
45,1.0,0.9791855,0.7454617,exploitation,0.9663953,0.012790203,0
46,1.0,0.9812243,0.75967985,exploitation,0.9690136,0.012210727,0
47,1.0,0.9830169,0.7736176,exploitation,0.9713974,0.011619508,0
48,1.0,0.98459345,0.7872501,exploitation,0.9735667,0.01102674,0
49,1.0,0.9859812,0.80055255,exploitation,0.97553986,0.010441363,0
50,1.0,0.9872048,0.8134994,exploitation,0.977335,0.009869814,0
51,1.0,0.98828596,0.8260647,exploitation,0.97896785,0.009318113,0
52,1.0,0.98924375,0.8382217,exploration,0.980453,0.008790731,0
53,1.0,0.98196447,0.8546657,exploration,0.95182425,0.030140221,-1
54,1.0,0.9829422,0.86000335,exploration,0.95462245,0.028319776,-1
55,1.0,0.9837685,0.86266625,exploration,0.9574539,0.026314616,-1
56,1.0,0.984446,0.8634882,exploration,0.960184,0.024262011,-1
