step,reward,confidence_level,fatigue_level,current_mode,predicted_confidence,confidence_error_history,mode_error_history
1,1.0,0.44495848,0.4271447,exploration,0.0,0.0,0.0
2,1.0,0.41591334,0.37765944,exploration,0.0,0.0,0.0
3,1.0,0.4226881,0.37898183,exploration,0.0,0.0,0.0
4,1.0,0.4275459,0.37716064,exploration,0.0,0.0,0.0
5,1.0,0.43249786,0.3758454,exploration,0.0,0.0,0.0
6,1.0,0.43742818,0.37466812,exploration,0.0,0.0,0.0
7,1.0,0.44235006,0.37359196,exploration,0.0,0.0,0.0
8,1.0,0.44726196,0.3725781,exploration,0.0,0.0,0.0
9,1.0,0.45216152,0.37159973,exploration,0.0,0.0,0.0
10,1.0,0.4570462,0.3706364,exploration,0.0,0.0,0.0
11,1.0,0.46191382,0.36967185,exploration,0.0,0.0,0.0
12,1.0,0.46676296,0.3686926,exploration,0.0,0.0,0.0
13,1.0,0.4715927,0.36768696,exploration,0.0,0.0,0.0
14,1.0,0.47640306,0.36664477,exploration,0.0,0.0,0.0
15,1.0,0.48119462,0.36555696,exploration,0.0,0.0,0.0
16,1.0,0.48596886,0.36441508,exploration,0.0,0.0,0.0
17,1.0,0.49072775,0.3632117,exploration,0.0,0.0,0.0
18,1.0,0.49547395,0.36193967,exploration,0.0,0.0,0.0
19,1.0,0.50021076,0.36059263,exploration,0.0,0.0,0.0
20,1.0,0.5049418,0.35916466,exploration,0.0,0.0,0.0
21,1.0,0.5096713,0.35765028,exploration,0.0,0.0,0.0
22,1.0,0.5144036,0.35604462,exploration,0.0,0.0,0.0
23,1.0,0.51914364,0.3543432,exploration,0.0,0.0,0.0
24,1.0,0.5238962,0.35254198,exploration,0.0,0.0,0.0
25,1.0,0.52866644,0.35063717,exploration,0.0,0.0,0.0
26,1.0,0.53345954,0.3486256,exploration,0.0,0.0,0.0
27,1.0,0.5382808,0.3465042,exploration,0.0,0.0,0.0
28,1.0,0.5431353,0.34427044,exploration,0.0,0.0,0.0
29,1.0,0.54802823,0.34192196,exploration,0.0,0.0,0.0
30,1.0,0.55296475,0.3394567,exploration,0.0,0.0,0.0
31,1.0,0.5579498,0.33687305,exploration,0.0,0.0,0.0
32,1.0,0.5629882,0.33416963,exploration,0.0,0.0,0.0
33,1.0,0.5680847,0.33134535,exploration,0.0,0.0,0.0
34,1.0,0.57324356,0.3283996,exploration,0.0,0.0,0.0
35,1.0,0.5784692,0.32533205,exploration,0.0,0.0,0.0
36,1.0,0.5837654,0.32214272,exploration,0.0,0.0,0.0
37,1.0,0.5891359,0.318832,exploration,0.0,0.0,0.0
38,1.0,0.5945838,0.31540084,exploration,0.0,0.0,0.0
39,1.0,0.6001122,0.31185028,exploration,0.0,0.0,0.0
40,1.0,0.6057235,0.30818206,exploration,0.0,0.0,0.0
41,1.0,0.6114199,0.30439803,exploration,0.0,0.0,0.0
