step,reward,confidence_level,fatigue_level,current_mode,predicted_confidence,confidence_error_history,mode_error_history
1,1.0,0.3643568,0.47805065,exploration,0.51509506,-0.15073827,-1
2,1.0,0.45771092,0.5236298,exploration,0.51379937,-0.056088448,-1
3,1.0,0.45636597,0.5285544,exploration,0.5171147,-0.060748726,-1
4,1.0,0.45940164,0.5290484,exploration,0.5170214,-0.05761978,-1
5,1.0,0.4626368,0.52918816,exploration,0.516662,-0.054025203,-1
6,1.0,0.46586275,0.5287266,exploration,0.5161158,-0.050253034,-1
7,1.0,0.46911052,0.52781916,exploration,0.51542187,-0.04631135,-1
8,1.0,0.47238314,0.52655286,exploration,0.51461977,-0.042236626,-1
9,1.0,0.4756868,0.5249866,exploration,0.5137383,-0.038051486,0
10,1.0,0.47902796,0.5231633,exploration,0.5128005,-0.033772558,0
11,1.0,0.482413,0.5211149,exploration,0.51182586,-0.029412866,0
12,1.0,0.48583293,0.51886106,exploration,0.5108311,-0.024998188,0
13,1.0,0.4892403,0.51640373,exploration,0.50983095,-0.020590663,0
14,1.0,0.4927118,0.5137788,exploration,0.50883776,-0.016125947,0
15,1.0,0.49625194,0.5110019,exploration,0.5078666,-0.01161468,0
16,1.0,0.49986508,0.5080822,exploration,0.50693,-0.0070649087,0
17,1.0,0.5035559,0.5050277,exploration,0.50595665,-0.0024007559,0
18,1.0,0.5073288,0.50184447,exploration,0.50495493,0.0023738742,0
19,1.0,0.511188,0.49853754,exploration,0.5040109,0.007177055,0
20,1.0,0.51513755,0.49511087,exploration,0.5032023,0.011935234,0
21,1.0,0.51918125,0.4915675,exploration,0.50255793,0.016623318,0
22,1.0,0.5233228,0.48790982,exploration,0.502061,0.021261811,0
23,1.0,0.52756566,0.48413953,exploration,0.5017041,0.025861561,0
24,1.0,0.5319129,0.48025784,exploration,0.5014881,0.030424833,0
25,1.0,0.53632534,0.47622544,exploration,0.5014165,0.03490883,0
26,1.0,0.54081297,0.47204852,exploration,0.50149137,0.0393216,0
27,1.0,0.5454161,0.46776462,exploration,0.5017166,0.043699503,0
28,1.0,0.5501355,0.46337345,exploration,0.50209665,0.04803884,0
29,1.0,0.5549726,0.45887482,exploration,0.5026332,0.052339375,0
30,1.0,0.5599285,0.45426843,exploration,0.50332665,0.056601822,0
31,1.0,0.5650039,0.4495542,exploration,0.5041763,0.060827553,0
32,1.0,0.5701992,0.444732,exploration,0.5051808,0.065018415,0
33,1.0,0.5755143,0.43980193,exploration,0.50633746,0.06917685,0
34,1.0,0.5809488,0.43476418,exploration,0.5076433,0.07330555,0
