step,reward,confidence_level,fatigue_level,current_mode,predicted_confidence,confidence_error_history,mode_error_history
1,1.0,0.5075422,0.49566302,exploration,0.0,0.0,0.0
2,1.0,0.51969314,0.5326949,exploration,0.0,0.0,0.0
3,1.0,0.52664953,0.5269374,exploration,0.0,0.0,0.0
4,1.0,0.53312844,0.5210487,exploration,0.0,0.0,0.0
5,1.0,0.5398219,0.5159673,exploration,0.0,0.0,0.0
6,1.0,0.546641,0.51148033,exploration,0.0,0.0,0.0
7,1.0,0.5535356,0.5074335,exploration,0.0,0.0,0.0
8,1.0,0.56047994,0.5037331,exploration,0.0,0.0,0.0
9,1.0,0.56748194,0.50026304,exploration,0.0,0.0,0.0
10,1.0,0.5746181,0.49675775,exploration,0.0,0.0,0.0
11,1.0,0.58181036,0.49340504,exploration,0.0,0.0,0.0
12,1.0,0.5890749,0.49019632,exploration,0.0,0.0,0.0
13,1.0,0.59642744,0.4871147,exploration,0.0,0.0,0.0
14,1.0,0.60388744,0.48414043,exploration,0.0,0.0,0.0
15,1.0,0.6114757,0.4812521,exploration,0.0,0.0,0.0
16,1.0,0.6192114,0.47842646,exploration,0.0,0.0,0.0
17,1.0,0.627111,0.47563893,exploration,0.0,0.0,0.0
18,1.0,0.6351875,0.47286394,exploration,0.0,0.0,0.0
19,1.0,0.64345074,0.47007507,exploration,0.0,0.0,0.0
20,1.0,0.65190715,0.46724588,exploration,0.0,0.0,0.0
21,1.0,0.6605602,0.46434984,exploitation,0.0,0.0,0.0
22,1.0,0.69364446,0.4376302,exploitation,0.0,0.0,0.0
23,1.0,0.70255744,0.4373523,exploitation,0.0,0.0,0.0
24,1.0,0.7131998,0.43844277,exploitation,0.0,0.0,0.0
25,1.0,0.7244278,0.4403279,exploitation,0.0,0.0,0.0
26,1.0,0.73596007,0.44317698,exploitation,0.0,0.0,0.0
27,1.0,0.74794066,0.4459036,exploitation,0.0,0.0,0.0
28,1.0,0.7602148,0.44838753,exploitation,0.0,0.0,0.0
29,1.0,0.7725184,0.45151195,exploitation,0.0,0.0,0.0
30,1.0,0.78483725,0.45526117,exploitation,0.0,0.0,0.0
31,1.0,0.7971072,0.45962206,exploitation,0.0,0.0,0.0
32,1.0,0.8092653,0.46458367,exploitation,0.0,0.0,0.0
33,1.0,0.8212514,0.47013724,exploitation,0.0,0.0,0.0
34,1.0,0.8330082,0.4762743,exploitation,0.0,0.0,0.0
35,1.0,0.844482,0.48298672,exploitation,0.0,0.0,0.0
36,1.0,0.8556222,0.4902653,exploitation,0.0,0.0,0.0
37,1.0,0.8663825,0.49809942,exploitation,0.0,0.0,0.0
38,1.0,0.8767215,0.5064764,exploitation,0.0,0.0,0.0
39,1.0,0.8866029,0.5153808,exploitation,0.0,0.0,0.0
40,1.0,0.8959965,0.52479416,exploitation,0.0,0.0,0.0
41,1.0,0.90487874,0.5346944,exploitation,0.0,0.0,0.0
42,1.0,0.91323256,0.5450558,exploitation,0.0,0.0,0.0
43,1.0,0.9210476,0.5558491,exploitation,0.0,0.0,0.0
44,1.0,0.92832106,0.56704116,exploitation,0.0,0.0,0.0
45,1.0,0.935056,0.57859594,exploitation,0.0,0.0,0.0
46,1.0,0.9412621,0.5904743,exploitation,0.0,0.0,0.0
47,1.0,0.9469544,0.60263515,exploitation,0.0,0.0,0.0
