step,reward,confidence_level,fatigue_level,current_mode,predicted_confidence,confidence_error_history,mode_error_history
1,1.0,0.4711186,0.50964606,exploration,0.5072124,-0.0360938,-1
2,1.0,0.49495253,0.53563625,exploration,0.5941979,-0.0992454,-1
3,1.0,0.49091798,0.5268938,exploration,0.5902226,-0.09930462,-1
4,1.0,0.49129975,0.5195244,exploration,0.5857733,-0.09447354,0
5,1.0,0.49363,0.51343596,exploration,0.5813962,-0.08776623,0
6,1.0,0.49719498,0.5080971,exploration,0.57704747,-0.07985249,0
7,1.0,0.50128675,0.50291383,exploration,0.5727412,-0.071454465,0
8,1.0,0.50596696,0.49791637,exploration,0.5684958,-0.06252885,0
9,1.0,0.5112243,0.49310765,exploration,0.5643353,-0.053110957,0
10,1.0,0.51696867,0.48841262,exploration,0.56028295,-0.043314278,0
11,1.0,0.52310455,0.48375311,exploration,0.5563646,-0.033260047,0
12,1.0,0.5296554,0.4791105,exploration,0.55261016,-0.022954762,0
13,1.0,0.5365561,0.4744236,exploration,0.5490537,-0.012497604,0
14,1.0,0.54352534,0.4695093,exploration,0.5457339,-0.0022085905,0
15,1.0,0.55079263,0.46446693,exploration,0.5427002,0.008092463,0
16,1.0,0.5583568,0.45927298,exploration,0.5401241,0.018232703,0
17,1.0,0.56621385,0.4539021,exploration,0.5379057,0.028308153,0
18,1.0,0.57438916,0.44842204,exploration,0.5360938,0.03829539,0
19,1.0,0.5828741,0.44271004,exploration,0.53473186,0.048142254,0
20,1.0,0.5916632,0.4367508,exploration,0.5338634,0.057799757,0
21,1.0,0.6007526,0.43053618,exploration,0.53351873,0.06723386,0
22,1.0,0.6101377,0.4240602,exploration,0.5337158,0.07642192,0
23,1.0,0.6198122,0.41731876,exploration,0.53446096,0.08535123,0
24,1.0,0.629768,0.4103092,exploration,0.53575003,0.09401798,0
25,1.0,0.6399941,0.4030305,exploration,0.53756994,0.102424145,0
26,1.0,0.6504641,0.39547685,exploration,0.5399012,0.11056292,0
27,1.0,0.6611642,0.38760182,exploration,0.5427197,0.1184445,0
28,1.0,0.6721415,0.37960058,exploration,0.5460002,0.12614131,0
29,1.0,0.68328685,0.37127623,exploration,0.5497089,0.13357794,0
30,1.0,0.6946,0.36270618,exploration,0.5538229,0.14077711,0
31,1.0,0.70603,0.35389048,exploration,0.55831194,0.14771807,0
32,1.0,0.71761745,0.3448854,exploration,0.56314844,0.15446901,0
33,1.0,0.729258,0.33566383,exploration,0.5683061,0.16095191,0
34,1.0,0.7409335,0.32625937,exploration,0.5737596,0.16717386,0
35,1.0,0.75255424,0.31669325,exploration,0.5794848,0.17306942,0
36,1.0,0.76422775,0.30698726,exploration,0.5854572,0.17877054,0
37,1.0,0.7757796,0.29716197,exploration,0.5916593,0.1841203,0
38,1.0,0.78719604,0.28724676,exploitation,0.5980667,0.18912935,0
39,1.0,0.76461196,0.27281418,exploration,0.57744604,0.18716592,1
40,1.0,0.8071999,0.27114338,exploitation,0.6101113,0.1970886,0
41,1.0,0.79190564,0.25979698,exploitation,0.59160286,0.20030278,1
42,1.0,0.8036202,0.25604233,exploitation,0.5979409,0.2056793,1
43,1.0,0.8176929,0.25297838,exploitation,0.6062941,0.21139878,1
44,1.0,0.83147365,0.25107026,exploitation,0.61515474,0.2163189,1
45,1.0,0.8446924,0.25020918,exploitation,0.6242973,0.22039509,1
46,1.0,0.8572749,0.2502089,exploitation,0.63386774,0.22340715,1
47,1.0,0.8691699,0.2509473,exploitation,0.6437747,0.2253952,1
48,1.0,0.88034266,0.25234884,exploitation,0.6538461,0.22649658,1
49,1.0,0.890777,0.25435737,exploitation,0.66402614,0.22675085,1
50,1.0,0.9004719,0.25692815,exploitation,0.67427,0.22620195,1
51,1.0,0.90943813,0.2600254,exploitation,0.68454045,0.22489768,1
52,1.0,0.9176954,0.26362053,exploitation,0.6948064,0.222889,1
53,1.0,0.9252708,0.26768973,exploitation,0.7050407,0.2202301,1
54,1.0,0.9321958,0.27221507,exploitation,0.71521944,0.21697634,1
55,1.0,0.9384874,0.27728325,exploitation,0.72532094,0.21316648,1
56,1.0,0.94421244,0.282753,exploitation,0.7351013,0.20911115,1
57,1.0,0.9494067,0.28860077,exploitation,0.744573,0.20483369,1
58,1.0,0.954108,0.29480815,exploitation,0.75392264,0.20018536,1
59,1.0,0.9583547,0.30135486,exploitation,0.7625719,0.19578284,1
60,1.0,0.9621775,0.30822638,exploitation,0.7711477,0.19102979,1
61,1.0,0.9655942,0.31542146,exploitation,0.77962923,0.18596494,1
62,1.0,0.96863204,0.32292384,exploitation,0.7879948,0.18063724,1
63,1.0,0.9712842,0.33054152,exploitation,0.79622346,0.17506075,1
64,1.0,0.97360885,0.33835456,exploitation,0.80428815,0.1693207,1
65,1.0,0.9756647,0.34643674,exploitation,0.8121735,0.16349119,0
66,1.0,0.9774843,0.35473707,exploitation,0.8198656,0.1576187,0
67,1.0,0.9791003,0.3629934,exploitation,0.82734734,0.15175295,0
68,1.0,0.98053104,0.37149715,exploitation,0.8345982,0.14593285,0
69,1.0,0.98180217,0.3800845,exploitation,0.84161305,0.14018911,0
70,1.0,0.98293155,0.38880184,exploitation,0.84837806,0.13455349,0
71,1.0,0.98393756,0.39761457,exploitation,0.85488665,0.12905091,0
