step,reward,confidence_level,fatigue_level,current_mode,predicted_confidence,confidence_error_history,mode_error_history
1,1.0,0.52262545,0.39018935,exploration,0.0,0.0,0.0
2,1.0,0.5048726,0.4192788,exploration,0.0,0.0,0.0
3,1.0,0.50546634,0.4185745,exploration,0.0,0.0,0.0
4,1.0,0.50628126,0.41785017,exploration,0.0,0.0,0.0
5,1.0,0.50710046,0.4171622,exploration,0.0,0.0,0.0
6,1.0,0.5079259,0.416501,exploration,0.0,0.0,0.0
7,1.0,0.5087563,0.41585818,exploration,0.0,0.0,0.0
8,1.0,0.5095909,0.4152288,exploration,0.0,0.0,0.0
9,1.0,0.51042944,0.41460943,exploration,0.0,0.0,0.0
10,1.0,0.51127154,0.4139975,exploration,0.0,0.0,0.0
11,1.0,0.51211697,0.4133911,exploration,0.0,0.0,0.0
12,1.0,0.5129656,0.41278884,exploration,0.0,0.0,0.0
13,1.0,0.5138175,0.41218942,exploration,0.0,0.0,0.0
14,1.0,0.5146724,0.41159195,exploration,0.0,0.0,0.0
15,1.0,0.5155303,0.41099566,exploration,0.0,0.0,0.0
16,1.0,0.51639116,0.4103998,exploration,0.0,0.0,0.0
17,1.0,0.51725507,0.40980387,exploration,0.0,0.0,0.0
18,1.0,0.5181219,0.40920725,exploration,0.0,0.0,0.0
19,1.0,0.51899165,0.4086097,exploration,0.0,0.0,0.0
20,1.0,0.5198643,0.40801066,exploration,0.0,0.0,0.0
21,1.0,0.52074003,0.40740994,exploration,0.0,0.0,0.0
22,1.0,0.52161855,0.40680718,exploration,0.0,0.0,0.0
23,1.0,0.5225001,0.4062022,exploration,0.0,0.0,0.0
24,1.0,0.5233846,0.40559468,exploration,0.0,0.0,0.0
25,1.0,0.524272,0.40498447,exploration,0.0,0.0,0.0
26,1.0,0.5251624,0.4043714,exploration,0.0,0.0,0.0
27,1.0,0.52605575,0.40375534,exploration,0.0,0.0,0.0
28,1.0,0.52695215,0.40313604,exploration,0.0,0.0,0.0
29,1.0,0.5278515,0.40251344,exploration,0.0,0.0,0.0
30,1.0,0.52875394,0.40188745,exploration,0.0,0.0,0.0
31,1.0,0.52965933,0.4012579,exploration,0.0,0.0,0.0
32,1.0,0.53056777,0.40062484,exploration,0.0,0.0,0.0
33,1.0,0.53148806,0.39998367,exploration,0.0,0.0,0.0
34,1.0,0.5324997,0.3992949,exploration,0.0,0.0,0.0
35,1.0,0.5335508,0.3985823,exploration,0.0,0.0,0.0
36,1.0,0.5346323,0.39785156,exploration,0.0,0.0,0.0
37,1.0,0.53573877,0.39710575,exploration,0.0,0.0,0.0
38,1.0,0.5368662,0.39634687,exploration,0.0,0.0,0.0
39,1.0,0.5380117,0.39557663,exploration,0.0,0.0,0.0
40,1.0,0.53917325,0.39479613,exploration,0.0,0.0,0.0
41,1.0,0.5403488,0.39400658,exploration,0.0,0.0,0.0
42,1.0,0.54153734,0.39320865,exploration,0.0,0.0,0.0
43,1.0,0.5427375,0.392403,exploration,0.0,0.0,0.0
44,1.0,0.54394853,0.3915903,exploration,0.0,0.0,0.0
45,1.0,0.54516965,0.39077094,exploration,0.0,0.0,0.0
46,1.0,0.54640025,0.3899454,exploration,0.0,0.0,0.0
47,1.0,0.5476398,0.3891139,exploration,0.0,0.0,0.0
48,1.0,0.5488878,0.38827682,exploration,0.0,0.0,0.0
49,1.0,0.5501437,0.38743433,exploration,0.0,0.0,0.0
50,1.0,0.5514074,0.38658667,exploration,0.0,0.0,0.0
51,1.0,0.5526784,0.38573396,exploration,0.0,0.0,0.0
52,1.0,0.5539565,0.38487634,exploration,0.0,0.0,0.0
53,1.0,0.5552414,0.384014,exploration,0.0,0.0,0.0
