step,reward,confidence_level,fatigue_level,current_mode,predicted_confidence,confidence_error_history,mode_error_history
1,1.0,0.4692852,0.45394355,exploration,0.5439685,-0.07468331,0
2,1.0,0.49837074,0.41051888,exploration,0.56948596,-0.071115226,0
3,1.0,0.4941357,0.41180488,exploration,0.5567914,-0.06265572,0
4,1.0,0.49313575,0.41344258,exploration,0.5437648,-0.05062908,0
5,1.0,0.4922318,0.41418877,exploration,0.53141916,-0.03918737,0
6,1.0,0.4914869,0.41440615,exploration,0.51981133,-0.028324425,0
7,1.0,0.49087286,0.41423988,exploration,0.50895035,-0.018077493,0
8,1.0,0.4903698,0.41377848,exploration,0.4988868,-0.008516997,0
9,1.0,0.4899628,0.41308033,exploration,0.48970652,0.00025627017,0
10,1.0,0.4896401,0.41218674,exploration,0.4816339,0.008006185,0
11,1.0,0.48939237,0.4111285,exploration,0.47492856,0.014463812,0
12,1.0,0.4892121,0.4099291,exploration,0.46980938,0.019402713,0
13,1.0,0.4890929,0.4086072,exploration,0.46622473,0.022868156,0
14,1.0,0.48902947,0.40717784,exploration,0.46408924,0.024940223,0
15,1.0,0.48901737,0.4056535,exploration,0.4632342,0.025783181,0
16,1.0,0.48905262,0.40404454,exploration,0.46336734,0.02568528,0
17,1.0,0.48913184,0.4023598,exploration,0.46434098,0.024790853,0
18,1.0,0.48925206,0.4006067,exploration,0.46600053,0.023251534,0
19,1.0,0.48941082,0.39879182,exploration,0.46817878,0.021232039,0
20,1.0,0.48960572,0.3969207,exploration,0.47069073,0.018914998,0
21,1.0,0.48983485,0.3949984,exploration,0.47341087,0.01642397,0
22,1.0,0.49009642,0.3930292,exploration,0.47625327,0.013843149,0
23,1.0,0.49038878,0.391017,exploration,0.4791254,0.0112633705,0
24,1.0,0.4907107,0.38896525,exploration,0.4819518,0.008758903,0
25,1.0,0.49106085,0.38687688,exploration,0.48467228,0.006388575,0
26,1.0,0.49143812,0.38475472,exploration,0.4872403,0.004197806,0
27,1.0,0.49184164,0.38260123,exploration,0.48962083,0.0022208095,0
28,1.0,0.49227053,0.38041863,exploration,0.491765,0.0005055368,0
29,1.0,0.4927241,0.37820882,exploration,0.49367917,-0.000955075,0
30,1.0,0.4932016,0.37597373,exploration,0.49535832,-0.0021567047,0
