step,reward,confidence_level,fatigue_level,current_mode,predicted_confidence,confidence_error_history,mode_error_history
1,1.0,0.5196922,0.61033225,exploration,0.0,0.0,0.0
2,1.0,0.5096561,0.6555812,exploration,0.0,0.0,0.0
3,1.0,0.5095168,0.65609646,exploration,0.0,0.0,0.0
4,1.0,0.5107143,0.655064,exploration,0.0,0.0,0.0
5,1.0,0.512014,0.65414494,exploration,0.0,0.0,0.0
6,1.0,0.51334584,0.65332,exploration,0.0,0.0,0.0
7,1.0,0.51470006,0.65256095,exploration,0.0,0.0,0.0
8,1.0,0.51607144,0.6518507,exploration,0.0,0.0,0.0
9,1.0,0.5174566,0.6511781,exploration,0.0,0.0,0.0
10,1.0,0.5188532,0.6505351,exploration,0.0,0.0,0.0
11,1.0,0.5202596,0.64991593,exploration,0.0,0.0,0.0
12,1.0,0.5216745,0.64931613,exploration,0.0,0.0,0.0
13,1.0,0.52309716,0.6487322,exploration,0.0,0.0,0.0
14,1.0,0.52452666,0.6481614,exploration,0.0,0.0,0.0
15,1.0,0.52596253,0.6476014,exploration,0.0,0.0,0.0
16,1.0,0.5274044,0.6470504,exploration,0.0,0.0,0.0
17,1.0,0.528852,0.6465068,exploration,0.0,0.0,0.0
18,1.0,0.53030497,0.6459692,exploration,0.0,0.0,0.0
19,1.0,0.53176314,0.6454366,exploration,0.0,0.0,0.0
20,1.0,0.53322643,0.64490783,exploration,0.0,0.0,0.0
21,1.0,0.5346947,0.64438224,exploration,0.0,0.0,0.0
22,1.0,0.53616786,0.64385897,exploration,0.0,0.0,0.0
23,1.0,0.5376459,0.64333737,exploration,0.0,0.0,0.0
24,1.0,0.5391287,0.6428169,exploration,0.0,0.0,0.0
25,1.0,0.5406164,0.64229697,exploration,0.0,0.0,0.0
26,1.0,0.5421089,0.64177716,exploration,0.0,0.0,0.0
27,1.0,0.5436063,0.6412569,exploration,0.0,0.0,0.0
28,1.0,0.54510844,0.64073616,exploration,0.0,0.0,0.0
29,1.0,0.54661554,0.6402142,exploration,0.0,0.0,0.0
30,1.0,0.5481276,0.6396909,exploration,0.0,0.0,0.0
31,1.0,0.5496446,0.63916594,exploration,0.0,0.0,0.0
32,1.0,0.5511666,0.6386389,exploration,0.0,0.0,0.0
33,1.0,0.5526937,0.63810974,exploration,0.0,0.0,0.0
34,1.0,0.554226,0.63757807,exploration,0.0,0.0,0.0
35,1.0,0.5557634,0.6370437,exploration,0.0,0.0,0.0
36,1.0,0.5573061,0.6365064,exploration,0.0,0.0,0.0
37,1.0,0.5588541,0.635966,exploration,0.0,0.0,0.0
38,1.0,0.56040746,0.6354222,exploration,0.0,0.0,0.0
39,1.0,0.56196624,0.63487506,exploration,0.0,0.0,0.0
40,1.0,0.5635305,0.63432413,exploration,0.0,0.0,0.0
41,1.0,0.5651003,0.63376933,exploration,0.0,0.0,0.0
42,1.0,0.5666757,0.63321054,exploration,0.0,0.0,0.0
43,1.0,0.5682568,0.6326476,exploration,0.0,0.0,0.0
44,1.0,0.5698436,0.6320802,exploration,0.0,0.0,0.0
