step,reward,confidence_level,fatigue_level,current_mode,predicted_confidence,confidence_error_history,mode_error_history
1,1.0,0.5624538,0.59542894,exploration,0.51010853,0.052345276,0
2,1.0,0.5663108,0.552701,exploration,0.5132526,0.053058207,-1
3,1.0,0.5531814,0.5486988,exploration,0.51288474,0.040296674,-1
4,1.0,0.5504341,0.54354984,exploration,0.51480144,0.03563267,-1
5,1.0,0.5516626,0.5395054,exploration,0.51779413,0.03386849,-1
6,1.0,0.5547113,0.53649026,exploration,0.5215247,0.033186555,-1
7,1.0,0.55919045,0.5341122,exploration,0.5258304,0.033360064,-1
8,1.0,0.56459665,0.5321696,exploration,0.53063977,0.033956885,-1
9,1.0,0.57069194,0.53056616,exploration,0.53590924,0.034782708,-1
10,1.0,0.57741976,0.5292586,exploration,0.5416202,0.035799563,-1
11,1.0,0.58464634,0.52818555,exploration,0.5477694,0.036876917,-1
12,1.0,0.59226876,0.52729404,exploration,0.55435234,0.037916422,-1
13,1.0,0.6002076,0.52653956,exploration,0.5613661,0.038841546,0
14,1.0,0.6084006,0.52588475,exploration,0.5688079,0.039592683,0
15,1.0,0.6167981,0.5252989,exploration,0.57526016,0.04153794,0
16,1.0,0.6253606,0.52475685,exploration,0.5820603,0.04330033,0
17,1.0,0.634057,0.5242391,exploration,0.58927417,0.044782817,0
18,1.0,0.64278203,0.5237327,exploration,0.5969067,0.04587531,0
19,1.0,0.6513928,0.5232275,exploration,0.6049558,0.046437025,0
20,1.0,0.66015655,0.5227088,exploration,0.613412,0.046744525,0
21,1.0,0.6690491,0.5221755,exploration,0.6222698,0.046779275,0
22,1.0,0.6780368,0.5216227,exploration,0.6315128,0.04652399,0
23,1.0,0.68709487,0.52104735,exploration,0.6411185,0.04597634,0
24,1.0,0.69609857,0.52045286,exploration,0.65105927,0.045039296,0
25,1.0,0.70494354,0.51984304,exploration,0.66129744,0.043646097,0
26,1.0,0.71391535,0.5192082,exploration,0.67178714,0.042128205,0
27,1.0,0.7229836,0.5185513,exploration,0.6824886,0.04049498,0
28,1.0,0.7321086,0.51787066,exploration,0.69334644,0.038762152,0
29,1.0,0.741263,0.5171667,exploration,0.70430124,0.036961734,0
30,1.0,0.7504284,0.51644087,exploration,0.71529096,0.035137415,0
31,1.0,0.7595915,0.5156952,exploration,0.72625315,0.033338368,0
32,1.0,0.7687418,0.51493156,exploration,0.737126,0.031615794,0
33,1.0,0.7778701,0.5141516,exploration,0.7478508,0.030019343,0
34,1.0,0.7869677,0.5133565,exploration,0.75837415,0.02859354,0
