step,loss_conf_fat,loss_pred_conf,loss_pred_mode,confidence_level,fatigue_level,predicted_confidence,mode_error
1,0.241948,0.101465,0.669098,0.5625,0.5954,0.5101,0
2,0.000896,0.002421,0.710318,0.5663,0.5527,0.5133,-1
3,0.000301,0.002854,0.707638,0.5532,0.5487,0.5129,-1
4,0.000106,0.001473,0.706578,0.5504,0.5435,0.5148,-1
5,0.000054,0.001065,0.705105,0.5517,0.5395,0.5178,-1
6,0.000035,0.000908,0.703516,0.5547,0.5365,0.5215,-1
7,0.000024,0.000834,0.701889,0.5592,0.5341,0.5258,-1
8,0.000017,0.000815,0.700229,0.5646,0.5322,0.5306,-1
9,0.000013,0.000823,0.698550,0.5707,0.5306,0.5359,-1
10,0.000010,0.000845,0.696859,0.5774,0.5293,0.5416,-1
11,0.000008,0.000879,0.695159,0.5846,0.5282,0.5478,-1
12,0.000006,0.000918,0.693452,0.5923,0.5273,0.5544,-1
13,0.000005,0.000955,0.691741,0.6002,0.5265,0.5614,0
14,0.000005,0.000986,0.690029,0.6084,0.5259,0.5688,0
15,0.000004,0.001098,0.688316,0.6168,0.5253,0.5753,0
16,0.000004,0.001207,0.686605,0.6254,0.5248,0.5821,0
17,0.000003,0.001302,0.684895,0.6341,0.5242,0.5893,0
18,0.000003,0.001380,0.683187,0.6428,0.5237,0.5969,0
19,0.000004,0.001431,0.681486,0.6514,0.5232,0.6050,0
20,0.000003,0.001443,0.679795,0.6602,0.5227,0.6134,0
21,0.000003,0.001435,0.678105,0.6690,0.5222,0.6223,0
22,0.000003,0.001409,0.676418,0.6780,0.5216,0.6315,0
23,0.000002,0.001363,0.674735,0.6871,0.5210,0.6411,0
24,0.000003,0.001299,0.673056,0.6961,0.5205,0.6511,0
25,0.000003,0.001211,0.671386,0.7049,0.5198,0.6613,0
26,0.000003,0.001099,0.669727,0.7139,0.5192,0.6718,0
27,0.000002,0.000988,0.668071,0.7230,0.5186,0.6825,0
28,0.000002,0.000878,0.666419,0.7321,0.5179,0.6933,0
29,0.000002,0.000773,0.664771,0.7413,0.5172,0.7043,0
30,0.000002,0.000675,0.663130,0.7504,0.5164,0.7153,0
31,0.000002,0.000584,0.661495,0.7596,0.5157,0.7263,0
32,0.000002,0.000505,0.659867,0.7687,0.5149,0.7371,0
33,0.000002,0.000436,0.658245,0.7779,0.5142,0.7479,0
34,0.000002,0.000380,0.656632,0.7870,0.5134,0.7584,0
35,0.000002,0.000336,0.655025,0.7960,0.5125,0.7687,0
36,0.000002,0.000302,0.653427,0.8050,0.5117,0.7786,0
37,0.000003,0.000279,0.651836,0.8140,0.5109,0.7883,0
38,0.000003,0.000266,0.650253,0.8228,0.5102,0.7977,0
39,0.000003,0.000258,0.648683,0.8315,0.5094,0.8067,0
40,0.000003,0.000259,0.647120,0.8401,0.5085,0.8154,0
41,0.000674,0.001157,0.776522,0.8448,0.4773,0.8061,1
42,0.000062,0.000971,0.776015,0.8538,0.4931,0.8136,1
43,0.000010,0.000718,0.776730,0.8664,0.5023,0.8270,1
44,0.000002,0.000691,0.776929,0.8764,0.5089,0.8401,1
45,0.000003,0.000562,0.776777,0.8853,0.5142,0.8527,1
46,0.000004,0.000421,0.776361,0.8939,0.5190,0.8648,1
47,0.000004,0.000307,0.775738,0.9021,0.5238,0.8763,1
48,0.000005,0.000225,0.774947,0.9101,0.5285,0.8871,1
49,0.000006,0.000169,0.774005,0.9179,0.5331,0.8971,1
50,0.000008,0.000134,0.772932,0.9251,0.5377,0.9063,1
51,0.000009,0.000111,0.771745,0.9320,0.5422,0.9146,1
52,0.000011,0.000098,0.770457,0.9386,0.5467,0.9221,1
53,0.000013,0.000094,0.769080,0.9447,0.5513,0.9289,1
54,0.000015,0.000095,0.767672,0.9505,0.5559,0.9350,1
55,0.000017,0.000101,0.766211,0.9559,0.5605,0.9405,1
56,0.000020,0.000109,0.764692,0.9608,0.5650,0.9455,1
57,0.000022,0.000119,0.763119,0.9654,0.5695,0.9499,1
58,0.000025,0.000129,0.761502,0.9695,0.5741,0.9540,1
59,0.000028,0.000139,0.759846,0.9732,0.5787,0.9576,1
60,0.000031,0.000148,0.758154,0.9765,0.5833,0.9610,1
61,0.000034,0.000155,0.756430,0.9794,0.5879,0.9640,1
62,0.000037,0.000160,0.754678,0.9820,0.5926,0.9668,1
63,0.000040,0.000162,0.752900,0.9842,0.5972,0.9693,1
64,0.000043,0.000161,0.751099,0.9862,0.6018,0.9716,1
65,0.000045,0.000158,0.749277,0.9879,0.6064,0.9736,1
66,0.000047,0.000154,0.747436,0.9894,0.6110,0.9755,1
67,0.000043,0.000148,0.745577,0.9907,0.6156,0.9773,1
68,0.000033,0.000141,0.743702,0.9918,0.6202,0.9788,1
69,0.000026,0.000134,0.741813,0.9928,0.6248,0.9803,1
70,0.000020,0.000126,0.739910,0.9936,0.6294,0.9816,1
71,0.000016,0.000118,0.737993,0.9943,0.6340,0.9828,1
72,0.000013,0.000109,0.736065,0.9949,0.6386,0.9838,1
73,0.000011,0.000101,0.734126,0.9954,0.6432,0.9848,1
74,0.000009,0.000094,0.732176,0.9958,0.6478,0.9857,1
75,0.000007,0.000086,0.730216,0.9962,0.6524,0.9865,1
76,0.000006,0.000079,0.728247,0.9965,0.6570,0.9873,1
77,0.000005,0.000073,0.726268,0.9968,0.6615,0.9880,1
78,0.000005,0.000067,0.724280,0.9970,0.6661,0.9886,1
79,0.000004,0.000062,0.722284,0.9972,0.6707,0.9891,1
80,0.000003,0.000057,0.720280,0.9974,0.6753,0.9897,1
81,0.000003,0.000053,0.718268,0.9976,0.6799,0.9901,1
82,0.000003,0.000049,0.716247,0.9977,0.6845,0.9906,1
83,0.000002,0.000045,0.714220,0.9978,0.6890,0.9910,1
84,0.000002,0.000042,0.712185,0.9979,0.6936,0.9913,1
85,0.000002,0.000039,0.710142,0.9980,0.6982,0.9917,1
86,0.000002,0.000036,0.708092,0.9981,0.7028,0.9920,1
87,0.000002,0.000034,0.706036,0.9982,0.7073,0.9923,1
88,0.000002,0.000032,0.703972,0.9983,0.7119,0.9926,1
89,0.000001,0.000030,0.701902,0.9983,0.7165,0.9928,1
90,0.000001,0.000028,0.699825,0.9984,0.7210,0.9930,1
91,0.000001,0.000027,0.697741,0.9985,0.7256,0.9933,1
92,0.000633,0.000200,0.681455,0.9948,0.6893,0.9843,0
