step,loss,confidence_level,fatigue_level
1,0.096743,0.4450,0.4271
2,0.003559,0.4159,0.3777
3,0.001162,0.4227,0.3790
4,0.001184,0.4275,0.3772
5,0.001189,0.4325,0.3758
6,0.001193,0.4374,0.3747
7,0.001195,0.4424,0.3736
8,0.001197,0.4473,0.3726
9,0.001198,0.4522,0.3716
10,0.001199,0.4570,0.3706
11,0.001200,0.4619,0.3697
12,0.001200,0.4668,0.3687
13,0.001201,0.4716,0.3677
14,0.001201,0.4764,0.3666
15,0.001201,0.4812,0.3656
16,0.001200,0.4860,0.3644
17,0.001200,0.4907,0.3632
18,0.001199,0.4955,0.3619
19,0.001198,0.5002,0.3606
20,0.001197,0.5049,0.3592
21,0.001196,0.5097,0.3577
22,0.001194,0.5144,0.3560
23,0.001192,0.5191,0.3543
24,0.001189,0.5239,0.3525
25,0.001187,0.5287,0.3506
26,0.001184,0.5335,0.3486
27,0.001180,0.5383,0.3465
28,0.001177,0.5431,0.3443
29,0.001173,0.5480,0.3419
30,0.001169,0.5530,0.3395
31,0.001165,0.5579,0.3369
32,0.001160,0.5630,0.3342
33,0.001156,0.5681,0.3313
34,0.001151,0.5732,0.3284
35,0.001146,0.5785,0.3253
36,0.001141,0.5838,0.3221
37,0.001135,0.5891,0.3188
38,0.001130,0.5946,0.3154
39,0.001124,0.6001,0.3119
40,0.001119,0.6057,0.3082
41,0.001113,0.6114,0.3044
42,0.001107,0.6172,0.3005
43,0.000441,0.6380,0.3149
44,0.001244,0.6456,0.3086
45,0.001205,0.6522,0.3058
46,0.001179,0.6591,0.3033
47,0.001157,0.6663,0.3014
48,0.001137,0.6737,0.2999
49,0.001119,0.6814,0.2987
50,0.001102,0.6894,0.2979
51,0.001087,0.6975,0.2973
52,0.001072,0.7059,0.2970
53,0.001059,0.7145,0.2969
54,0.001046,0.7234,0.2970
55,0.001034,0.7323,0.2973
56,0.001023,0.7415,0.2979
57,0.001014,0.7507,0.2988
58,0.001005,0.7601,0.2999
59,0.000998,0.7695,0.3012
60,0.000991,0.7789,0.3028
61,0.000986,0.7883,0.3048
62,0.000982,0.7978,0.3069
63,0.000979,0.8071,0.3094
64,0.000978,0.8164,0.3122
65,0.000977,0.8255,0.3154
66,0.000978,0.8345,0.3188
67,0.000980,0.8433,0.3226
68,0.000983,0.8519,0.3267
69,0.000987,0.8603,0.3312
70,0.000992,0.8684,0.3360
71,0.000997,0.8763,0.3413
72,0.001004,0.8838,0.3469
73,0.001011,0.8911,0.3528
74,0.001019,0.8981,0.3592
75,0.001027,0.9047,0.3660
76,0.001036,0.9110,0.3731
77,0.001046,0.9170,0.3807
78,0.001055,0.9227,0.3886
79,0.001065,0.9281,0.3970
80,0.001074,0.9331,0.4057
81,0.001084,0.9378,0.4148
82,0.001094,0.9422,0.4243
83,0.001103,0.9464,0.4341
84,0.001113,0.9502,0.4443
85,0.001111,0.9538,0.4548
86,0.000960,0.9572,0.4657
87,0.000830,0.9602,0.4768
88,0.000719,0.9631,0.4882
89,0.000625,0.9656,0.4999
90,0.000545,0.9680,0.5118
91,0.000477,0.9701,0.5239
92,0.000420,0.9721,0.5362
93,0.000371,0.9738,0.5486
94,0.000329,0.9755,0.5612
95,0.000294,0.9769,0.5738
96,0.000264,0.9782,0.5865
97,0.000238,0.9795,0.5992
98,0.000216,0.9806,0.6119
99,0.000197,0.9816,0.6245
100,0.000181,0.9825,0.6372
101,0.000167,0.9833,0.6497
102,0.000155,0.9841,0.6622
103,0.000144,0.9848,0.6746
104,0.000135,0.9855,0.6869
105,0.000128,0.9861,0.6990
106,0.000121,0.9866,0.7109
107,0.000116,0.9872,0.7227
108,0.000111,0.9877,0.7343
109,0.000108,0.9881,0.7457
110,0.000105,0.9885,0.7569
111,0.000102,0.9889,0.7679
112,0.000103,0.9893,0.7783
113,0.004465,0.9736,0.6676
114,0.006052,0.9884,0.7970
115,0.004158,0.9750,0.6893
116,0.004996,0.9891,0.8086
117,0.003788,0.9760,0.7050
118,0.004205,0.9897,0.8161
119,0.003323,0.9768,0.7179
120,0.003529,0.9901,0.8214
121,0.002870,0.9774,0.7290
122,0.002953,0.9905,0.8253
123,0.002464,0.9780,0.7386
124,0.002469,0.9909,0.8283
125,0.002114,0.9786,0.7469
126,0.002068,0.9912,0.8306
127,0.001817,0.9790,0.7541
128,0.001737,0.9916,0.8325
129,0.001568,0.9795,0.7603
130,0.001466,0.9918,0.8339
131,0.001460,0.9800,0.7637
132,0.001343,0.9921,0.8349
133,0.001368,0.9804,0.7664
134,0.001246,0.9923,0.8357
135,0.001282,0.9808,0.7689
136,0.001159,0.9925,0.8364
137,0.001204,0.9812,0.7711
138,0.000348,0.9797,0.7679
139,0.001235,0.9927,0.8371
140,0.001116,0.9817,0.7735
141,0.000326,0.9803,0.7697
142,0.000395,0.9803,0.7698
143,0.000386,0.9805,0.7696
144,0.001034,0.9931,0.8346
145,0.001063,0.9825,0.7719
146,0.000291,0.9811,0.7669
147,0.000963,0.9932,0.8302
148,0.001018,0.9828,0.7685
149,0.000773,0.9934,0.8273
150,0.000981,0.9830,0.7664
151,0.000757,0.9935,0.8247
152,0.000932,0.9832,0.7649
153,0.000734,0.9936,0.8227
154,0.000884,0.9835,0.7641
155,0.000707,0.9937,0.8211
156,0.000838,0.9837,0.7636
157,0.000677,0.9938,0.8198
158,0.000794,0.9839,0.7634
159,0.000645,0.9939,0.8188
160,0.000751,0.9841,0.7634
161,0.000612,0.9940,0.8179
162,0.000711,0.9843,0.7636
163,0.000578,0.9941,0.8171
164,0.000672,0.9845,0.7638
165,0.000546,0.9941,0.8164
166,0.000635,0.9847,0.7642
167,0.000514,0.9942,0.8157
168,0.000600,0.9849,0.7645
169,0.000483,0.9943,0.8151
170,0.000567,0.9851,0.7649
171,0.000453,0.9944,0.8145
172,0.000535,0.9852,0.7653
173,0.000424,0.9945,0.8139
174,0.000505,0.9854,0.7656
175,0.000397,0.9946,0.8133
176,0.000476,0.9856,0.7660
177,0.000371,0.9946,0.8127
178,0.000449,0.9857,0.7663
179,0.000346,0.9947,0.8121
180,0.000423,0.9859,0.7666
181,0.000322,0.9948,0.8115
182,0.000399,0.9860,0.7669
183,0.000300,0.9948,0.8109
184,0.000376,0.9862,0.7672
185,0.000279,0.9949,0.8103
186,0.000354,0.9863,0.7674
187,0.000260,0.9950,0.8097
188,0.000334,0.9865,0.7677
189,0.000241,0.9950,0.8090
190,0.000314,0.9866,0.7679
191,0.000223,0.9951,0.8084
192,0.000296,0.9867,0.7680
193,0.000207,0.9951,0.8078
194,0.000279,0.9868,0.7682
195,0.000192,0.9952,0.8071
196,0.000263,0.9870,0.7683
197,0.000177,0.9952,0.8065
198,0.000247,0.9871,0.7684
199,0.000164,0.9953,0.8059
200,0.000233,0.9872,0.7685
201,0.000151,0.9953,0.8053
202,0.000219,0.9873,0.7686
203,0.000139,0.9954,0.8046
204,0.000207,0.9874,0.7686
205,0.000128,0.9954,0.8040
206,0.000195,0.9875,0.7687
207,0.000118,0.9955,0.8034
208,0.000184,0.9876,0.7687
209,0.000108,0.9955,0.8028
210,0.000173,0.9877,0.7688
211,0.000100,0.9956,0.8021
212,0.000164,0.9878,0.7688
213,0.000091,0.9956,0.8015
214,0.000155,0.9879,0.7688
215,0.000084,0.9956,0.8010
216,0.000146,0.9880,0.7688
217,0.000077,0.9957,0.8004
218,0.000138,0.9881,0.7688
219,0.000070,0.9957,0.7998
220,0.000131,0.9882,0.7687
221,0.000064,0.9958,0.7992
222,0.000124,0.9883,0.7687
223,0.000059,0.9958,0.7987
224,0.000118,0.9884,0.7687
225,0.000054,0.9958,0.7982
